search_name,cleaned_province
องค์การบริหารส่วนตำบลแม่ยางร้อง,แพร่
องค์การบริหารส่วนจังหวัดแพร่,แพร่
องค์การบริหารส่วนตำบลไทรย้อย,แพร่
องค์การบริหารส่วนตำบลร่องฟอง,แพร่
เทศบาลตำบลปากกาง,แพร่
องค์การบริหารส่วนตำบลต้าผามอก,แพร่
องค์การบริหารส่วนตำบลนาจักร,แพร่
เทศบาลตำบลทุ่งโฮ้ง,แพร่
เทศบาลตำบลวังชิ้น,แพร่
องค์การบริหารส่วนตำบลเหมืองหม้อ,แพร่
องค์การบริหารส่วนตำบลแม่ยางฮ่อ,แพร่
องค์การบริหารส่วนตำบลหัวฝาย,แพร่
องค์การบริหารส่วนตำบลน้ำเลา,แพร่
องค์การบริหารส่วนตำบลแม่พุง,แพร่
เทศบาลตำบลป่าแมต,แพร่
องค์การบริหารส่วนตำบลพระหลวง,แพร่
องค์การบริหารส่วนตำบลน้ำรัด,แพร่
องค์การบริหารส่วนตำบลห้วยโรง,แพร่
องค์การบริหารส่วนตำบลเตาปูน,แพร่
องค์การบริหารส่วนตำบลสูงเม่น,แพร่
องค์การบริหารส่วนตำบลแม่ยม,แพร่
องค์การบริหารส่วนตำบลห้วยไร่,แพร่
เทศบาลตำบลวังหงส์,แพร่
องค์การบริหารส่วนตำบลบ้านปง,แพร่
องค์การบริหารส่วนตำบลทุ่งแล้ง,แพร่
องค์การบริหารส่วนตำบลแม่ป้าก,แพร่
องค์การบริหารส่วนตำบลผานกเค้า,เลย
องค์การบริหารส่วนตำบลศรีฐาน,เลย
เทศบาลตำบลปากชม,เลย
เทศบาลตำบลภูกระดึง,เลย
องค์การบริหารส่วนตำบลหนองผือ,เลย
องค์การบริหารส่วนตำบลท่าสวรรค์,เลย
เทศบาลตำบลหนองหิน,เลย
เทศบาลตำบลนาด้วง,เลย
เทศบาลตำบลร่องจิก,เลย
องค์การบริหารส่วนตำบลนาพึง,เลย
องค์การบริหารส่วนตำบลผาน้อย,เลย
องค์การบริหารส่วนตำบลโพนสูง,เลย
เทศบาลตำบลนาดอกคำ,เลย
องค์การบริหารส่วนตำบลนาดี,เลย
